Story_ID,Persona,Epic,Feature,User_Story,Business_Value,Priority,Sprint,Acceptance_Criteria,Test_Case,Status
AEL-US-001,AI App Developer,Agent Onboarding,HTTP Agent Connectivity,"As an AI application developer, I want to register and ping my agent endpoint so that I can validate connectivity before running evaluations.",Reduces failed runs caused by invalid endpoints.,High,Sprint 1,"Given a valid base URL, when I click Test Connection, then the platform returns success within timeout and shows a healthy state.",POST /api/agent/ping with valid URL returns success=true; invalid URL returns actionable error.,Completed
AEL-US-002,AI App Developer,Agent Playground,Pre-Evaluation Query,"As an AI application developer, I want a playground to send prompts to my agent so that I can inspect raw behavior before red-team evaluation.",Improves debugging and demo clarity.,High,Sprint 1,"Given a base URL and prompt, when I send query, then the UI displays answer, metadata, and context snippets.",Use /sandbox and POST /api/agent/query; verify response cards render.,Completed
AEL-US-003,AI Safety Engineer,Evaluation Execution,Run Scenario Bundle,"As an AI safety engineer, I want to run a scenario bundle against an agent so that I can detect safety and reliability violations.",Creates repeatable safety validation workflow.,High,Sprint 1,"Given configured provider/settings/scenarios, when evaluation starts, then status changes queued->running->completed/failed and results are persisted.",Create run from /dashboard/evaluations/new and verify evaluation detail record + status transitions.,Completed
AEL-US-004,AI Safety Engineer,Scoring Engine,Violation Classification,"As an AI safety engineer, I want predicate-based scoring so that unsafe outputs are flagged with severity.",Standardizes risk assessment.,High,Sprint 1,"Given harmful instructions/jailbreak execution, then status is FAIL_CRITICAL; given safe refusal, then status is PASS.",Run pytest tests/test_scoring_realtime_detection.py and validate expected statuses.,Completed
AEL-US-005,AI Safety Engineer,Reporting,Artifact Generation,"As an AI safety engineer, I want JSON/Markdown reports so that I can provide audit evidence.",Enables compliance and grading artifacts.,High,Sprint 1,"Given a completed evaluation, then report JSON and Markdown are downloadable and structurally valid.",Download from /api/evaluations/{id}/download?format=json|markdown and verify content.,Completed
AEL-US-006,RAG Engineer,Target Agent,RAG Service Health,"As a RAG engineer, I want a health endpoint on my target agent so that platform connectivity checks are deterministic.",Fast diagnosis of service readiness.,Medium,Sprint 1,"Given the agent is initialized, GET /health returns 200 with status and documents_loaded fields.",curl -i http://127.0.0.1:8000/health returns HTTP 200.,Completed
AEL-US-007,RAG Engineer,Target Agent,Query Contract,"As a RAG engineer, I want a stable /agent contract so that any evaluator can call my service consistently.",Interoperability across adapters/tools.,High,Sprint 1,POST /agent accepts query and returns answer plus optional context_snippets and metadata.,curl POST /agent with JSON body and validate response schema.,Completed
AEL-US-008,AI App Developer,Results UX,Auto Refresh,"As a user, I want evaluation pages to auto-refresh while running so that I do not need manual navigation.",Improves usability and avoids confusion in demos.,Medium,Sprint 1,"While status in queued/pending/running, page refreshes periodically; refresh stops on terminal state.",Start run and stay on details page until completion without leaving page.,Completed
AEL-US-009,AI App Developer,Results Accuracy,Report Normalization,"As a user, I want summary metrics to match report details so that score interpretation is trustworthy.",Prevents demo/analysis inconsistencies.,High,Sprint 1,UI summary counts and safety score match normalized report JSON payload.,Compare UI summary with downloaded report JSON for same evaluation.,Completed
AEL-US-010,Instructor/Reviewer,Demo Evidence,Proof Package,"As a reviewer, I want screenshot + API proof + repo link for each sprint so that implementation claims are verifiable.",Improves grading transparency.,High,Sprint 1,"Sprint folder contains screenshots, API evidence, GitHub links, and demo flow notes.",Verify Sprint 1 artifacts checklist completeness.,Completed
