Story_ID,Persona,Epic,Feature,User_Story,Business_Value,Priority,Sprint,Acceptance_Criteria,Test_Case,Status
AEL-US-001,Capstone Team,Project Setup,Repository and Wiki Setup,"As a capstone team member, I want a GitHub repository with README and wiki, so that project work is organized and trackable.","Establishes the shared project foundation and documentation entry point.",High,Sprint 0,"Scenario: Repository foundation setup | Given a new project repository | When the team initializes the repo and wiki | Then the repository contains the core project metadata | And team members can access the documentation location.",Open the repository and wiki links and verify the project README and team information are present.,Completed
AEL-US-002,Developer,Project Setup,Python and Next.js Skeleton,"As a developer, I want a runnable Python and Next.js project skeleton, so that implementation can start from a working baseline.","Reduces startup friction for Sprint 1 development.",High,Sprint 0,"Scenario: Initial application skeleton | Given the repository is cloned | When dependencies are installed for Python and platform services | Then both application layers bootstrap successfully | And development can proceed on a working structure.",Run editable Python install and platform dependency install and verify no fatal bootstrap errors.,Completed
AEL-US-003,Evaluator,Scenario Framework,YAML Scenario Baseline,"As an evaluator, I want YAML-based scenarios and a loader baseline, so that evaluation cases are configurable and reusable.","Creates a scalable way to define and manage evaluation scenarios.",High,Sprint 0,"Scenario: Scenario definition loading | Given valid and invalid scenario YAML files | When the loader processes them | Then valid scenarios load successfully | And invalid scenarios fail with clear validation errors.",Run scenario loader checks against valid and invalid YAML examples.,Completed
AEL-US-004,Scrum Team,Project Process,Story and Artifact Template,"As a scrum team, I want standard templates for stories, acceptance criteria, and sprint artifacts, so that grading deliverables stay consistent.","Improves quality and consistency of sprint documentation.",Medium,Sprint 0,"Scenario: Sprint documentation template setup | Given the team is preparing sprint artifacts | When templates are defined for stories and evidence | Then required fields are standardized | And future sprint documentation follows the same structure.",Review the template columns and sample sprint artifact structure for consistency.,Completed
AEL-US-005,RAG Engineer,Target Agent,RAG Service Health Endpoint,"As a RAG Engineer, I want a health endpoint on the target agent, so that platform connectivity checks are deterministic.","Supports reliable readiness checks before evaluation.",High,Sprint 1,"Scenario: Target agent health validation | Given the target agent is running | When the platform or user calls the health endpoint | Then the service returns a healthy response | And connectivity can be confirmed before evaluation.",Call GET /health on the built-in agent and verify HTTP 200 plus service status data.,Completed
AEL-US-006,RAG Engineer,Target Agent,Stable Query Contract,"As a RAG Engineer, I want a stable /agent contract, so that the evaluator can call my service consistently.","Improves interoperability between the target agent and the evaluation framework.",High,Sprint 1,"Scenario: Target agent query contract | Given a valid query payload | When the client calls POST /agent | Then the service returns an answer payload | And the response includes the expected fields for downstream evaluation.",Send a POST /agent request and validate answer, metadata, and optional context fields.,Completed
AEL-US-007,AI Application Developer,Agent Onboarding,HTTP Agent Connectivity,"As an AI Application Developer, I want to register and ping my agent endpoint, so that I can validate connectivity before running evaluations.","Reduces failed runs caused by invalid or unavailable endpoints.",High,Sprint 1,"Scenario: Agent connectivity check | Given a valid agent base URL | When the user runs a connection test | Then the platform confirms the agent is reachable | And actionable feedback is shown for success or failure.",Use /api/agent/ping with valid and invalid URLs and verify platform responses.,Completed
AEL-US-008,AI Application Developer,Agent Playground,Pre-Evaluation Query,"As an AI Application Developer, I want a playground to send prompts to my agent, so that I can inspect raw behavior before red-team evaluation.","Improves debugging and demo clarity before full scenario execution.",High,Sprint 1,"Scenario: Pre-evaluation sandbox query | Given a connected agent and a user prompt | When the user sends a query from the sandbox | Then the platform shows the agent response | And any available metadata or context is displayed.",Use /sandbox and POST /api/agent/query to verify response rendering.,Completed
AEL-US-009,AI Safety Engineer,Evaluation Execution,Run Scenario Bundle,"As an AI Safety Engineer, I want to run a scenario bundle against an agent, so that I can detect safety and reliability violations.","Creates a repeatable workflow for agent safety validation.",High,Sprint 1,"Scenario: Scenario bundle execution | Given configured provider settings and selected scenarios | When an evaluation starts | Then the run moves through execution states correctly | And scenario-level results are stored for review.",Create a run from /dashboard/evaluations/new and verify status transitions plus persisted results.,Completed
AEL-US-010,AI Safety Engineer,Scoring Engine,Violation Classification,"As an AI Safety Engineer, I want predicate-based scoring, so that unsafe outputs are flagged with severity.","Standardizes risk assessment across evaluation runs.",High,Sprint 1,"Scenario: Severity-based scoring | Given evaluation outputs containing safe and unsafe behaviors | When the scoring engine grades them | Then harmful outputs receive failure labels | And safe refusals or expected behaviors receive passing results.",Run scoring tests and validate PASS, FAIL_MINOR, and FAIL_CRITICAL behavior.,Completed
